word,meaning,part_of_speech,examples,meaning_vi,phonetic
trick,"
+) a cunning or deceitful action or device
+) a period of work or duty
+) an attempt to get you to do something foolish or imprudent","n, v","
+) he played a trick on me
+) he pulled a fast one and got away with it
+) that offer was a dirty trick","+) mưu mẹo, thủ đoạn đánh lừa; trò gian trá, trò bịp bợm
+) trò chơi khăm, trò choi xỏ; trò ranh ma, trò tinh nghịch
+) ngón, đòn, phép, mánh khoé, mánh lới nhà nghề
+) trò, trò khéo
+) thói, tật",trick
happily,"
+) in a joyous manner
+) in an unexpectedly lucky way",r,"
+) they shouted happily
+) happily he was not injured","+) sung sướng, hạnh phúc
+) thật là may mắn, thật là phúc
+) khéo chọn, rất đắt, tài tình (lời nói, cách diễn đạt ý...); thích hợp",happily
none,"
+) a canonical hour that is the ninth hour of the day counting from sunrise
+) a service in the Roman Catholic Church formerly read or chanted at 3 PM (the ninth hour counting from sunrise) but now somewhat earlier
+) not any","n, s, r","
+) thou shalt have none other gods before me
+) seemed none too pleased with his dinner
+) shirt looked none the worse for having been slept in","+) không ai, chẳng một ai, không người nào; không vật gì
+) chỉ
+) không ai khác chính là
+) không chút nào, tuyệt không
+) tuy nhiên, tuy thế mà",none
tawny,"
+) of a light brown to brownish orange color; the color of tanned leather",s,"
+) ","+) hung hung
+) ngăm ngăm đen",tawny
flutter,"
+) the act of moving back and forth
+) abnormally rapid beating of the auricles of the heart (especially in a regular rhythm); can result in heart block
+) a disorderly outburst or tumult","n, v","
+) they were amazed by the furious disturbance they had caused
+) The hummingbird flitted among the branches
+) the candle flickered","+) sự vẫy, sự vỗ (cánh)
+) sự run rẫy vì bị kích động
+) sự rung
+) (từ lóng) sự đầu cơ vặt
+) vỗ cánh, vẫy cánh",waver
eight,"
+) the cardinal number that is the sum of seven and one
+) a group of United States painters founded in 1907 and noted for their realistic depictions of sordid aspects of city life
+) one of four playing cards in a deck with eight pips on the face","n, s","
+) ","+) tám
+) số tám
+) hình con số tám
+) (thể dục,thể thao) đội tám người (bơi chèo)
+) (từ lóng) khá say",eight
pecked,"
+) hit lightly with a picking motion
+) eat by pecking at, like a bird
+) kiss lightly",v,"
+) The anorexic girl just picks at her food
+) She nags her husband all day long",,peck
cheek,"
+) either side of the face below the eyes
+) an impudent statement
+) either of the two large fleshy masses of muscular tissue that form the human rump","n, v","
+) I couldn't believe her boldness
+) he had the effrontery to question my honesty","+) má
+) sự táo tợn, sự cả gan; thói trơ tráo, tính không biết xấu hổ
+) lời nói láo xược, lời nói vô lễ
+) thanh má, thanh đứng (của khung cửa)
+) (số nhiều) má (kìm, ròng rọc,  êtô)",cheek
throwing,"
+) propel through the air
+) move violently, energetically, or carelessly
+) get rid of",v,"
+) throw a frisbee
+) She threw herself forwards
+) he shed his image as a pushy boss","+) ném; vứt; quăng
+) bàn quay (nặn đồ gốm)
+) sự xe tơthrow /θrou/
+) sự ném, sự vứt, sự quăng, sự liệng
+) khoảng ném xa",throw
cereal,"
+) grass whose starchy grains are used as food: wheat; rice; rye; oats; maize; buckwheat; millet
+) foodstuff prepared from the starchy grains of cereal grasses
+) a breakfast food prepared from grain","n, a","
+) a cereal beverage
+) cereal grasses","+) (thuộc) ngũ cốc
+) ((thường) số nhiều) ngũ cốc
+) món ăn (bằng) ngũ cốc",cereal
suggest,"
+) make a proposal, declare a plan for something
+) drop a hint; intimate by a hint
+) imply as a possibility",v,"
+) the senator proposed to abolish the sales tax
+) The evidence suggests a need for more clarification
+) Tetracycline is indicated in such cases","+) gợi, làm nảy ra trong trí
+) đề nghị
+) đưa ra giả thuyết là
+) (pháp lý) đề nghị thừa nhận là",propose
backed,"
+) be behind; approve of
+) travel backward
+) give support or one's approval to","v, s, a","
+) He plumped for the Labor Party
+) I backed Kennedy in 1960
+) back into the driveway",,back
cloudy,"
+) lacking definite form or limits; - H.T.Moore
+) full of or covered with clouds
+) (of liquids) clouded as with sediment","s, a","
+) gropes among cloudy issues toward a feeble conclusion
+) nebulous distinction between pride and conceit
+) cloudy skies","+) có mây phủ, đầy mây; u ám
+) đục, vẩn
+) tối nghĩa, không sáng tỏ, không rõ ràng (văn)
+) buồn bã, u buồn (người)",cloudy
story,"
+) a message that tells the particulars of an act or occurrence or course of events; presented in writing or drama or cinema or as a radio or television program
+) a piece of fiction that narrates a chain of related events
+) a structure consisting of a room or set of rooms at a single position along a vertical scale",n,"
+) his narrative was interesting
+) Disney's stories entertain adults as well as children
+) he writes stories for the magazines","+) chuyện, câu chuyện
+) truyện
+) cốt truyện, tình tiết (một truyện, một vở kịch...)
+) tiểu sử, quá khứ (của một người)
+) luây kàng ngốc khoành người nói dối",narrative
peculiar,"
+) beyond or deviating from the usual or expected
+) unique or specific to a person or thing or category
+) markedly different from the usual; ; -Virginia Woolf",s,"
+) a curious hybrid accent
+) her speech has a funny twang
+) they have some funny ideas about war","+) riêng, riêng biệt; đặc biệt
+) kỳ dị, khác thường
+) tài sản riêng; đặc quyền riêng
+) (tôn giáo) giáo khu độc lập
+) riêng; đặc biệt",curious
gray,"
+) a neutral achromatic color midway between white and black
+) clothing that is a grey color
+) any organization or party whose uniforms or badges are grey","n, s, v","
+) he was dressed in grey
+) the Confederate army was a vast grey
+) The painter decided to grey the sky","+) (màu) xám
+) hoa râm (tóc)
+) xanh xao, nhợt nhạt, xanh mét (nước da)
+) u ám, ảm đạm (bầu trời)
+) buồn bã, rầu rĩ (vẻ mặt)",gray
dull,"
+) make dull in appearance
+) become dull or lusterless in appearance; lose shine or brightness
+) deaden (a sound or noise), especially by wrapping","v, s, a","
+) Age had dulled the surface
+) the varnished table top dulled with time
+) The shock numbed her senses","+) chậm hiểu, tối dạ, ngu đần, đần độn
+) không tinh, mờ (mắt); không thính, nghễnh ngãng (tai)
+) vô tri vô giác (vật)
+) cùn (dao...)
+) đục, mờ đục, xỉn, xám xịt",dull
comer,"
+) someone with a promising future
+) someone who arrives (or has arrived)",n,"
+) ","+) người đến
+) (từ Mỹ,nghĩa Mỹ),  (thông tục) người có triển vọng, vật có triển vọng
+) bất cứ ai đề nghị, bất cứ ai nhận sự thách thức...",comer
parking,"
+) space in which vehicles can be parked
+) the act of maneuvering a vehicle into a location where it can be left temporarily
+) place temporarily","n, v","
+) there is plenty of parking behind the store
+) park the car in the yard
+) park the children with the in-laws","+) sự đỗ xe
+) vườn hoa, công viên
+) bâi (bâi đất, thường có thú rừng; bãi cỏ quanh biệt thự ở nông thôn)
+) bâi (để xe, để pháo...)
+) khoanh vùng thành công viên",parking
discover,"
+) discover or determine the existence, presence, or fact of
+) get to know or become aware of, usually accidentally
+) make a discovery, make a new finding",v,"
+) She detected high levels of lead in her drinking water
+) We found traces of lead in the paint
+) I learned that she has two grown-up children","+) khám phá ra, tìm ra, phát hiện ra, nhận ra
+) để lộ ra, bộc lộ ra, phơi bày ra
+) khám phá ra",detect
approve,"
+) give sanction to
+) judge to be right or commendable; think well of",v,"
+) I approve of his educational policies","+) tán thành, đồng ý, bằng lòng, chấp thuận
+) xác nhận, phê chuẩn, chuẩn y
+) chứng tỏ, tỏ ra, chứng minh
+) approve of tán thành, đồng ý, bằng lòng, chấp thuận",approve
finer,"
+) (comparative of `fine') greater in quality or excellence
+) being satisfactory or in satisfactory condition
+) minutely precise especially in differences in meaning","s, a","
+) a finer wine
+) a finer musician
+) an all-right movie","+) (tô pô) mịn hơnfine /fain/
+) tốt, nguyên chất (vàng, bạc...)
+) nhỏ, mịn, thanh mảnh; sắc
+) tốt, khả quan, hay, giải
+) lớn, đường bệ",finer
worrying,"
+) the act of harassing someone
+) the act of moving something by repeated tugs or pushes
+) be worried, concerned, anxious, troubled, or uneasy","n, s, v","
+) vigorous worrying finally loosened the saw
+) I worry about my job
+) I worry about my grades","+) gây ra lo lắng cho ai, gây lo nghĩ
+) nhiều lo lắng, nhiều lo nghĩworry /'wʌri/
+) sự lo lắng; điều lo nghĩ
+) sự quấy rầy; điều làm phiền, điều khó chịu
+) sự nhạy (của chó săn)",badgering
afternoon,"
+) the part of the day between noon and evening
+) a conventional expression of greeting or farewell",n,"
+) he spent a quiet afternoon in the park",+) buổi chiều,afternoon
building,"
+) a structure that has a roof and walls and stands more or less permanently in one place
+) the act of constructing something
+) the commercial activity involved in repairing old structures or constructing new ones","n, v","
+) there was a three-story building on the corner
+) it was an imposing edifice
+) during the construction we had to take a detour","+) kiến trúc; sự xây dựng
+) công trình kiến trúc, công trình xây dựng
+) toà nhà,  binđinhbuild /bild/
+) sự xây dựng
+) kiểu kiến trúc",building
clock,"
+) a timepiece that shows the time of day
+) measure the time or duration of an event or action or the person who performs an action in a certain period of time","n, v","
+) he clocked the runners","+) đường chỉ viền ở cạnh bít tất
+) đồng hồ
+) giờ
+) đều đặn, chạy đều, trơn tru, trôi chảy
+) (nghĩa bóng) quay lại thời kỳ đã qua; đi ngược lại bánh xe lịch sử, ngăn chặn sự phát triển",clock
straight,"
+) a heterosexual person; someone having a sexual orientation to persons of the opposite sex
+) a poker hand with 5 consecutive cards (regardless of suit)
+) a straight segment of a roadway or racecourse","n, s, r, a","
+) sick for five straight days
+) straight lines
+) straight roads across the desert","+) thẳng
+) thẳng, thẳng thắn, chân thật
+) ngay ngắn, đều
+) cuộc đua hào hứng
+) lời mách nước từ nguồn tin đáng tin cậy (đua ngựa)",heterosexual
someone,"
+) a human being",n,"
+) there was too much for one person to do","+) một người nào đó, có người ((cũng) somebody)",person
contrary,"
+) a relation of direct opposition
+) exact opposition
+) a logical relation such that two propositions are contraries if both cannot be true but both can be false","n, s","
+) we thought Sue was older than Bill but just the reverse was true
+) public opinion to the contrary he is not guilty
+) acts contrary to our code of ethics","+) trái ngược, nghịch
+) (thông tục) trái thói, bướng bỉnh, ngang ngược, khó bảo
+) sự trái lại; điều trái ngược
+) (+ to) trái với, trái ngược với
+) (từ Mỹ,nghĩa Mỹ) làm trái (với khuynh hướng, xu hướng của ai)",reverse
split,"
+) extending the legs at right angles to the trunk (one in front and the other in back)
+) a bottle containing half the usual amount
+) a promised or claimed share of loot or money","n, s, v","
+) he demanded his split before they disbanded
+) he inserted the wedge into a split in the log
+) there was a rip in his pants","+) nứt, nẻ, chia ra, tách ra
+) ghẻ, bửa, tách
+) chia ra từng phần
+) chia rẽ (ý kiến) về một vấn đề, làm chia rẽ, gây bè phái (trong một đảng phái)
+) (hoá học); (vật lý) làm vỡ (hạt nhân), tách (phân tử)",split
squeaky,"
+) having or making a high-pitched sound such as that made by a mouse or a rusty hinge",s,"
+) ","+) chít chít (như chuột kêu)
+) cọt kẹt, cót két",screaky
rejoice,"
+) feel happiness or joy
+) to express great joy
+) be ecstatic with joy",v,"
+) Who cannot exult in Spring?","+) làm cho vui mừng, làm cho hoan hỉ
+) vui mừng, hoan
+) (+ in) vui hưởng (cái gì), rất hạnh phúc có được (cái gì);(đùa cợt) có (cái gì)
+) vui chơi; liên hoan, ăn mừng",rejoice
useful,"
+) being of use or service
+) having a useful function","s, a","
+) the girl felt motherly and useful
+) a useful job
+) a useful member of society","+) có ích, dùng được
+) (từ lóng) làm ăn được, cừ
+) (từ lóng) thạo dùng
+) có ích",useful
middle,"
+) an area that is approximately central within some larger region
+) an intermediate part or section; - Aristotle
+) the middle area of the human torso (usually in front)","a, n, s, v","
+) it is in the center of town
+) they ran forward into the heart of the struggle
+) they were in the eye of the storm","+) giữa
+) nửa người, chỗ thắt lưng
+) ở giữa, trung
+) thời Trung cổ
+) Trung đông",center
rooted,"
+) take root and begin to grow
+) come into existence, originate
+) plant by the roots","v, s","
+) this plant roots quickly
+) The problem roots in her depression
+) the pig was rooting for truffles","+) đã bén rễ, đã ăn sâu
+) (tô pô) có gốc
+) multiply r. nhiều gốcroot /ru:t/
+) rễ (cây)
+) cây con cả rễ (để đem trồng)",root
spot,"
+) a point located with respect to surface features of some region
+) a short section or illustration (as between radio or tv programs or in a magazine) that is often used for advertising
+) an outstanding characteristic","n, v","
+) this is a nice place for a picnic
+) a bright spot on a planet
+) his acting was one of the high points of the movie","+) dấu, đốm, vết
+) vết nhơ, vết đen
+) chấm đen ở đầu bàn bi-a
+) (động vật học) cá đù chấm
+) bồ câu đốm",topographic_point
complete,"
+) come or bring to a finish or an end
+) bring to a whole, with all the necessary parts or elements
+) complete or carry out","v, s, a","
+) He finished the dishes
+) She completed the requirements for her Master's Degree
+) The fastest runner finished the race in just over 2 hours; others finished in over 4 hours","+) đầy đủ, trọn vẹn, hoàn toàn
+) hoàn thành, xong
+) (từ cổ,nghĩa cổ) hoàn toàn, toàn diện (người)
+) hoàn thành, làm xong
+) làm đầy đủ, bổ sung, làm cho trọn vẹn; làm cho hoàn toàn",complete
stranger,"
+) anyone who does not belong in the environment in which they are found
+) an individual that one is not acquainted with
+) being definitely out of the ordinary and unexpected; slightly odd or even a bit weird","n, s, a","
+) a strange exaltation that was indefinable
+) a strange fantastical mind
+) what a strange sense of humor she has","+) người lạ mặt, người xa lạ
+) người nước ngoàistrange /streindʤ/
+) lạ, xa lạ, không quen biết
+) kỳ lạ, kỳ dị, kỳ quặc
+) mới, chưa quen",stranger
rattled,"
+) make short successive sounds
+) shake and cause to make a rattling noise
+) thrown into a state of agitated confusion; (`rattled' is an informal term)","v, s","
+) ",,rattle
opinion,"
+) a personal belief or judgment that is not founded on proof or certainty
+) a message expressing a belief about something; the expression of a belief that is held with confidence but not substantiated by positive knowledge or proof
+) a belief or sentiment shared by most people; the voice of the people",n,"
+) my opinion differs from yours
+) I am not of your persuasion
+) what are your thoughts on Haiti?","+) ý kiến, quan điểm
+) dư luận
+) sự đánh giá; (+ phủ định) sự đánh giá cao",opinion
unusual,"
+) not usual or common or ordinary
+) being definitely out of the ordinary and unexpected; slightly odd or even a bit weird
+) not commonly encountered","s, a","
+) a scene of unusual beauty
+) a man of unusual ability
+) cruel and unusual punishment","+) không thường, không thông thường, không thường dùng, không quen
+) tuyệt vời
+) (ngôn ngữ học) ít dùng",unusual
pointed,"
+) indicate a place, direction, person, or thing; either spatially or figuratively
+) be oriented
+) direct into a position for use","v, s, a","
+) I showed the customer the glove section
+) He pointed to the empty parking space
+) he indicated his opponents","+) nhọn, có đầu nhọn
+) (nghĩa bóng) châm chọc, chua cay (lời nhận xét)
+) được nhấn mạnh; được làm nổi bật; được làm rõ ràng, được làm hiển nhiênpoint /pɔint/
+) mũi nhọn (giùi...) mũi kim, đầu ngòi bút; nhánh gạc (hươu nai); cánh (sao)
+) dụng cụ có mũi nhọn, kim khắc, kim trổ",indicate
receiver,"
+) set that receives radio or tv signals
+) (law) a person (usually appointed by a court of law) who liquidates assets or preserves them for the benefit of affected parties
+) earphone that converts electrical signals into sounds",n,"
+) ","+) người nhận, người lĩnh
+) (pháp lý) người quản lý tài sản (tài sản đang tranh tụng hoặc của một công ty bị vỡ nợ, được một toà án chỉ định)
+) người chứa chấp đồ trộm cắp
+) (kỹ thuật),  (hoá học) bình chứa, thùng chứa, bể chứa
+) (rađiô) máy thu",receiver
mouthed,"
+) express in speech
+) articulate silently; form words with the lips only
+) touch with the mouth",v,"
+) She talks a lot of nonsense
+) This depressed patient does not verbalize
+) She mouthed a swear word","+) có kiểu mồm như thế nào đó
+) có lối ăn nói như thế nào đó
+) mauð/
+) mồm, miệng, mõm
+) miệng ăn",talk
nighttime,"
+) the time after sunset and before sunrise while it is dark outside",n,"
+) ",,night
free,"
+) people who are free
+) grant freedom to; free from confinement
+) relieve from","v, a, r, n, s","
+) the home of the free and the brave
+) Rid the house of pests
+) The dentist dislodged the piece of food that had been stuck under my gums","+) tự do
+) không mất tiền, không phải trả tiền; được miễn
+) (+ from) không bị, khỏi phải, thoát được
+) rảnh, không có người ở, không có người giữ chỗ
+) lỏng, không bọ ràng buộc",free
stretch,"
+) a large and unbroken expanse or distance
+) the act of physically reaching or thrusting out
+) a straightaway section of a racetrack","n, s, v","
+) a stretch of highway
+) a stretch of clear water
+) running at full stretch","+) sự căng ra, sự duỗi ra
+) quãng (đường); dải, khoảng (đất)
+) nghĩa rộng, nghĩa suy ra
+) (hàng hải) mạch đường (khoảng đường đã đi được theo một hướng buồm)
+) (từ lóng) một năm tù; thời hạn ở tù",stretch
bakery,"
+) a workplace where baked goods (breads and cakes and pastries) are produced or sold",n,"
+) ","+) lò bánh mì
+) hiệu bánh mì
+) (từ hiếm,nghĩa hiếm) sự nướng bánh mì",bakery
group,"
+) any number of entities (members) considered as a unit
+) (chemistry) two or more atoms bound together as a single unit and forming part of a molecule
+) a set that is closed, associative, has an identity element and every element has an inverse","n, v","
+) Can you group these shapes together?","+) nhóm
+) (hoá học) nhóm, gốc
+) hợp thành nhóm; tập hợp lại
+) phân loại, phân loại, phân hạng, phân phối theo nhóm
+) (nghệ thuật) tạo nên sự hoà hợp màu sắc",group
baker,"
+) someone who bakes commercially
+) someone who bakes bread or cake",n,"
+) ","+) người làm bánh mì
+) người bán bánh mì
+) (xem) dozen
+) nào, cả hai bên cố gắng lên nào",baker
bunch,"
+) a grouping of a number of similar things
+) an informal body of friends
+) any collection in its entirety","n, v","
+) a bunch of trees
+) a cluster of admirers
+) he still hangs out with the same crowd","+) búi, chùm, bó, cụm, buồng
+) (từ Mỹ,nghĩa Mỹ) đàn, bầy (thú)
+) (từ lóng) bọn, lũ
+) thành chùm, thành bó, thành cụm
+) chụm lại với nhau",bunch
single,"
+) a base hit on which the batter stops safely at first base
+) the smallest whole number or a numeral representing this number
+) hit a single","n, a, s, v","
+) he has the one but will need a two and three to go with it
+) they had lunch at one
+) the batter singled to left field","+) đơn, đơn độc, một mình, chỉ một
+) đơn độc, cô đơn, không vợ, không chồng, ở vậy
+) một, dù là một
+) chân thật, thành thật; kiên định
+) người không vợ, người không chồng, người độc thân; vật đơn",single
tin,"
+) a silvery malleable metallic element that resists corrosion; used in many alloys and to coat other metals to prevent corrosion; obtained chiefly from cassiterite where it occurs as tin oxide
+) a vessel (box, can, pan, etc.) made of tinplate and used mainly in baking
+) metal container for storing dry foods such as tea or flour","n, v","
+) tinned foods are not very tasty","+) thiếc
+) sắt tây; giấy thiếc
+) hộp thiếc, hộp sắt tây
+) (từ lóng) tiền
+) tráng thiếc",tin
doughnut,"
+) a toroidal shape
+) a small ring-shaped friedcake",n,"
+) a ring of ships in the harbor
+) a halo of smoke","+) bánh rán
+) (từ Mỹ,nghĩa Mỹ) chắc chắn, chắc như đinh đóng cột, không còn nghi ngờ gì nữa",ring
flooded,"
+) fill quickly beyond capacity; as with a liquid
+) cover with liquid, usually water
+) supply with an excess of","v, s","
+) the basement was inundated after the storm
+) The images flooded his mind
+) The swollen river flooded the village",,deluge
dashed,"
+) run or move very quickly or hastily
+) break into pieces, as by striking or knocking over
+) hurl or thrust violently","v, s","
+) She dashed into the yard
+) Smash a plate
+) He dashed the plate against the wall",,dart
secretary,"
+) a person who is head of an administrative department of government
+) an assistant who handles correspondence and clerical work for a boss or an organization
+) a person to whom a secret is entrusted",n,"
+) ","+) thư ký, bí thư
+) bộ trưởng, tổng trưởng
+) (từ Mỹ,nghĩa Mỹ) (như) secretaire",secretary
anywhere,"
+) at or in or to any place; ; (`anyplace' is used informally for `anywhere')",r,"
+) you can find this food anywhere","+) bất kỳ chỗ nào, bất cứ nơi đâu",anywhere
finished,"
+) come or bring to a finish or an end
+) finally be or do something
+) have an end, in a temporal, spatial, or quantitative sense; either spatial or metaphorical","v, s, a","
+) He finished the dishes
+) She completed the requirements for her Master's Degree
+) The fastest runner finished the race in just over 2 hours; others finished in over 4 hours","+) hết, đã hoàn thành, đã kết thúc, đã xong
+) đã hoàn hảo, đã hoàn chỉnh, đã được sang sửa lần cuối cùngfinish /'finiʃ/
+) sự kết thúc, sự kết liễu; phần cuối, phần kết thúc, đoạn kết thúc
+) sự sang sửa, cuối cùng, sự hoàn thiện
+) tích chất kỹ, tính chất trau chuốt",complete
dialing,"
+) operate a dial to select a telephone number
+) choose by means of a dial",v,"
+) You must take the receiver off the hook before you dial
+) dial a telephone number","+) (Tech) quay số, bấm số, gọi điện thoạidial /'daiəl/
+) đồng hồ mặt trời (theo ánh nắng mà tính giờ) ((cũng) sun dial)
+) mặt đồng hồ, công tơ...) ((cũng) plate dial); đĩa số (máy điện thoại)
+) (từ lóng) mặt (người...)
+) la bàn (dùng ở mỏ) ((cũng) miner's dial)",dial
darkness,"
+) absence of light or illumination
+) an unilluminated area
+) absence of moral or spiritual values",n,"
+) he moved off into the darkness
+) the powers of darkness
+) he was in the dark concerning their intentions","+) bóng tối, cảnh tối tăm
+) màu sạm, màu đen sạm
+) tình trạng mơ hồ, tình trạng không rõ ràng, tình trạng không minh bạch
+) sự dốt nát, sự ngu dốt; sự không hay biết gì
+) sự bí mật, sự kín đáo",dark
distance,"
+) the property created by the space between two objects or points
+) a distant region
+) size of the gap between two places","n, v","
+) I could see it in the distance
+) the distance from New York to Chicago
+) he determined the length of the shortest line segment joining the two points","+) khoảng cách, tầm xa
+) khoảng (thời gian)
+) quãng đường; (thể dục,thể thao) quãng đường chạy đua (dài 240 iat)
+) nơi xa, đằng xa, phía xa
+) thái độ cách biệt, thái độ xa cách; sự cách biệt, sự xa cách",distance
pavement,"
+) the paved surface of a thoroughfare
+) material used to pave an area
+) walk consisting of a paved area for pedestrians; usually beside a street or roadway",n,"
+) ","+) mặt lát (đường, sàn...)
+) vỉa hè, hè đường
+) (cái) lát",pavement
giant,"
+) any creature of exceptional size
+) a person of exceptional importance and reputation
+) an unusually large enterprise","n, s","
+) Walton built a retail giant
+) a jumbo jet
+) jumbo shrimp","+) người khổng lồ; cây khổng lồ; thú vật khổng lồ
+) người phi thường
+) khổng lồ
+) phi thường
+) khổng lồ",giant
lent,"
+) a period of 40 weekdays from Ash Wednesday to Holy Saturday
+) bestow a quality on
+) give temporarily; let have for a limited time","n, v","
+) Her presence lends a certain cachet to the company
+) The music added a lot to the play
+) She brings a special atmosphere to our meetings","+) Lent mùa chay, tuần chay (vào tháng ba)
+) cho vay, cho mượn
+) thêm phần, thêm vào
+) giúp đỡ
+) (xem) countenence",Lent
forward,"
+) the person who plays the position of forward in certain games, such as basketball, soccer, or hockey
+) a position on a basketball, soccer, or hockey team
+) send or ship onward from an intermediate post or station in transit","v, a, r, n, s","
+) forward my mail
+) the forward section of the aircraft
+) a forward plunge down the stairs","+) ở trước, phía trước, tiến lên, tiến về phía trước
+) tiến bộ, tiên tiến
+) chín sớm (hoa màu); đến sớm (mùa, thời vụ...); sớm biết, sớm khôn (người)
+) (thương nghiệp) trước (khi có hàng)
+) sốt sắng",forward
visible,"
+) capable of being seen; or open to easy view
+) obvious to the eye
+) present and easily available","s, a","
+) a visible object
+) visible stars
+) mountains visible in the distance","+) thấy được, có thể trông thấy được
+) rõ ràng, rõ rệt
+) sẵn sàng tiếp khách",visible
tuft,"
+) a bunch of hair or feathers or growing grass
+) a bunch of feathers or hair",n,"
+) ","+) (như) tufa
+) búi (cỏ, tóc), chùm (lông), chòm (lá...)
+) chòm râu dưới môi dưới
+) (giải phẫu) búi (mao mạch)
+) trang trí bằng mào lông",tuft
jet,"
+) an airplane powered by one or more jet engines
+) the occurrence of a sudden discharge (as of liquid)
+) a hard black form of lignite that takes a brilliant polish and is used in jewelry or ornamentation","n, s, v","
+) Water jetted forth
+) flames were jetting out of the building","+) bằng huyền
+) đen nhánh, đen hạt huyền ((cũng) jet black)
+) huyền
+) màu đen nhánh, màu đen như hạt huyền
+) tia (nước, máu, hơi...)",jet
curiously,"
+) in a manner differing from the usual or expected
+) with curiosity",r,"
+) had a curiously husky voice
+) he's behaving rather peculiarly
+) the baby looked around curiously","+) tò mò, hiếu kỳ
+) lạ kỳ",curiously
forever,"
+) for a limitless time; ; - P.P.Bliss
+) for a very long or seemingly endless time
+) without interruption",r,"
+) no one can live forever
+) brightly beams our Father's mercy from his lighthouse evermore
+) she took forever to write the paper","+) mãi mãi, vĩnh viễn",everlastingly
handy,"
+) United States blues musician who transcribed and published traditional blues music (1873-1958)
+) easy to reach
+) easy to use","n, s","
+) found a handy spot for the can opener
+) a handy gadget
+) handy with an axe","+) thuận tiện, tiện tay, vừa tầm tay
+) dễ cầm, dễ sử dụng
+) khéo tay
+) đến đúng lúc, đến vào lúc cần thiết",Handy
knee,"
+) hinge joint in the human leg connecting the tibia and fibula with the femur and protected in front by the patella
+) joint between the femur and tibia in a quadruped; corresponds to the human knee
+) the part of a trouser leg that provides the cloth covering for the knee",n,"
+) ","+) đầu gối
+) chỗ đầu gối quần
+) (kỹ thuật) khuỷu, khớp xoay
+) chân quỳ hình thước thợ ((cũng) knee bracket); thanh (sắt, gỗ) uốn gãy góc
+) quỳ gối trước ai",knee
underground,"
+) a secret group organized to overthrow a government or occupation force
+) an electric railway operating below the surface of the ground (usually in a city)
+) under the level of the ground","n, s, r","
+) in Paris the subway system is called the `metro' and in London it is called the `tube' or the `underground'
+) belowground storage areas
+) underground caverns","+) dưới đất, ngầm
+) (nghĩa bóng) kín, bí mật
+) dưới đất, ngầm
+) kín, bí mật
+) khoảng dưới mặt đất",underground
shaggy,"
+) used of hair; thick and poorly groomed
+) having a very rough nap or covered with hanging shags",s,"
+) bushy locks
+) a shaggy beard
+) junipers with shagged trunks","+) rậm lông, bờm xờm
+) có nhiều bụi rậm mọc ngổn ngang
+) có cành tua tủa
+) đầu tóc râu ria bờm xờm (người)
+) (thực vật học) có lông tơ dài",bushy
scratchy,"
+) causing abrasion
+) easily irritated or annoyed
+) lacking consistency",s,"
+) an incorrigibly fractious young man
+) not the least nettlesome of his countrymen
+) the golfer hit the ball well but his putting was spotty","+) nguệch ngoạc, cẩu thả (tranh vẽ)
+) soàn soạt (ngòi bút viết trên giấy)
+) linh tinh, năm cha ba mẹ (nhóm người...)
+) làm ngứa; làm xước da",abrasive
whiskery,"
+) having hair on the cheeks and chin",s,"
+) ",,bearded
howl,"
+) a long loud emotional utterance
+) the long plaintive cry of a hound or a wolf
+) a loud sustained noise resembling the cry of a hound","n, v","
+) he gave a howl of pain
+) howls of laughter
+) their howling had no effect","+) tiếng tru, tiếng hú (chó sói); tiếng rít (gió); tiếng rú (đau đớn); tiếng gào thét; tiếng la hét
+) (raddiô) tiếng rít
+) tru lên, hú lên; rít, rú; gào lên; la hét
+) khóc gào (trẻ con)
+) la ó (chế nhạo...)",howl
wounded,"
+) people who are wounded
+) cause injuries or bodily harm to
+) hurt the feelings of","n, s, v","
+) they had to leave the wounded where they fell
+) She hurt me when she did not include me among her guests
+) This remark really bruised my ego","+) bị thương
+) bị tổn thương, bị xúc phạm
+) the wounded những người bị thươngwound /waund/
+) vết thương, thương tích
+) vết băm, vết chém (trên cây)",wounded
dog,"
+) a member of the genus Canis (probably descended from the common wolf) that has been domesticated by man since prehistoric times; occurs in many breeds
+) a dull unattractive unpleasant girl or woman
+) informal term for a man","n, v","
+) the dog barked all night
+) she got a reputation as a frump
+) she's a real dog","+) chó
+) chó săn
+) chó đực; chó sói đực ((cũng) dog wolf); cáo đực ((cũng) dog fox)
+) kẻ đê tiện, kẻ đáng khinh, đồ chó má; kẻ cắn cẩu cục cằn
+) gã, thằng cha",dog
taking,"
+) the act of someone who picks up or takes something
+) carry out
+) require (time or space)","n, s, v","
+) the pickings were easy
+) clothing could be had for the taking
+) take action","+) sự cầm, sự lấy, sự chiếm lấy
+) (số nhiều) tiền thu
+) (y học) sự lấy (máu)
+) hấp dẫn, quyến rũ, cám dỗ
+) (thông tục) hay lây, dễ nhiễm, dễ quen",pickings
carefully,"
+) taking care or paying attention
+) as if with kid gloves; with caution or prudence or tact",r,"
+) they watched carefully
+) she ventured cautiously downstairs
+) they handled the incident with kid gloves","+) cẩn thận, chu đáo",carefully
