word,meaning,part_of_speech,examples,phonetic,meaning_vi
rationale,(law) an explanation of the fundamental reasons (especially an explanation of the working of some device in terms of laws of nature),n,"the rationale for capital punishment
the principles of internal-combustion engines",rationale,"
+) lý do căn bản, nhân tố căn bản, cơ sở hợp lý (của một sự vật)
+) (từ hiếm,nghĩa hiếm) cách phân tích nguồn gốc, cách phân tích nguyên nhân (của một ý kiến...)"
themselves,,,,,"
+) tự chúng, tự họ, tự
+) bản thân họ, chính họ
+) tự lực, một mình họ"
uncorrelated,not varying together,s,,uncorrelated,"
+) không có tương quan với nhau"
tried,make an effort or attempt,v,"He tried to shake off his fears
The infant had essayed a few wobbly steps
The police attempted to stop the thief",try,"
+) đã được thử thách, đã qua thử thách, đáng tin cậy
+) sự thử, sự làm thử
+) thử, thử xem, làm thử
+) dùng thử
+) thử thách
+) cố gắng, gắng sức, gắng làm
+) xử, xét xử
+) làm mệt mỏi
+) thử, thử làm; toan làm, chực làm
+) cố, cố gắng, cố làm
+) cố gắng cho có được; tìm cách để đạt được
+) lùi trở lại (vấn đề)
+) mặc thử (áo), đi thử (giày...)
+) thử (một cái máy); thử xem có được quần chúng thích không (vở kịch)
+) (hoá học) tính chế
+) thử (một khúc nhạc)
+) bào (một tấm ván)
+) (thông tục) thử cái gì vào ai
+) thử t. back thử lại; t. for tìm"
discussion,an extended communication (often interactive) dealing with some particular topic,n,"the book contains an excellent discussion of modal logic
his treatment of the race question is badly biased",discussion,"
+) sự thảo luận, sự bàn cãi, sự tranh luận; cuộc thảo luận, cuộc bàn cãi, cuộc tranh luận
+) sự ăn uống ngon lành thích thú (món ăn, rượu)
+) sự thảo luận"
dependence,the state of relying on or being controlled by someone or something else,n,,dependence,"
+) sự phụ thuộc, sự tuỳ thuộc, sự tuỳ theo; tính phụ thuộc
+) sự dựa vào, sự ỷ vào; sự nương tựa; chỗ dựa, chỗ nương tựa (để sống)
+) sự tin, sự tin cậy
+) sự phụ thuộc
+) functional d. phụ thuộc hàm
+) linear d. phụ thuộc tuyến tính
+) stochastic d. phụ thuộc ngẫu nhiên"
obtain,come into possession of,v,How did you obtain the visa?,obtain,"
+) đạt được, thu được, giành được, kiếm được
+) đang tồn tại, hiện hành, thông dụng
+) đạt được, thu được"
computed,make a mathematical calculation or computation,v,,calculate,"
+) (Tech) được tính toán, đã tính xong
+) được tínhcompute /kəm'pju:t/
+) tính toán, ước tính
+) (Tech) tính toán (đ)
+) tính toán"
functionally,with respect to function,r,the two units are functionally interdependent,functionally,"
+) theo chức năng; về mặt chức năng"
unused,not yet used or soiled,s,"a fresh shirt
a fresh sheet of paper
an unused envelope",fresh,"
+) không dùng; chưa dùng đến
+) không quen"
homogeneity,the quality of being similar or comparable in kind or nature,n,there is a remarkable homogeneity between the two companies,homogeneity,"
+) tính đồng nhất, tình đồng đều, tính thuần nhất
+) (thống kê) tính thuần nhất
+) h. of set of averages (thống kê) tính thuần nhất của tập hợp các số trung bình
+) h. of set of variances (thống kê) tính thuần nhất của tập phương sai
+) dimensional h. tính thuần nhất thứ nguyên"
engagement,a hostile meeting of opposing military forces in the course of a war,n,"Grant won a decisive victory in the battle of Chickamauga
he lost his romantic ideas about war when he got into a real engagement",battle,"
+) sự hứa hẹn, sự ước hẹn, sự cam kết, sự ràng buộc, sự hứa hôn
+) sự hứa gặp
+) sự thuê mướn (người làm...), sự tuyển mộ
+) công việc làm (của người thư ký, người giúp việc...)
+) (kỹ thuật) sự gài (số...)
+) (quân sự) sự giao chiến; cuộc đánh nhau"
splitting,separate into parts or portions,v,"divide the cake into three equal parts
The British carved up the Ottoman Empire after World War I",divide,"
+) rất nhức (đặc biệt là đau đầu)
+) sự phân cắt; tách đôi
+) sự phân nhóm; phân chia; chẻ táchsplit /split/
+) nứt, nẻ, chia ra, tách ra
+) ghẻ, bửa, tách
+) chia ra từng phần
+) chia rẽ (ý kiến) về một vấn đề, làm chia rẽ, gây bè phái (trong một đảng phái)
+) (hoá học); (vật lý) làm vỡ (hạt nhân), tách (phân tử)
+) nứt, vỡ, nẻ
+) chia rẽ, phân hoá, không nhất trí
+) (từ Mỹ,nghĩa Mỹ),  (thông tục) chia nhau
+) làm vỡ ra; vỡ ra, tách ra
+) lấy số trung bình
+) thoả hiệp
+) chẻ sợi tóc làm tư
+) cười vỡ bụng
+) (từ lóng) tố cáo ai; phản ai
+) bỏ phiếu cho ứng cử viên đối lập
+) đầu nhức như búa bổ
+) cắt đoạn, chia đoạn"
persistent,never-ceasing,s,the relentless beat of the drums,persistent,"
+) kiên gan, bền bỉ
+) khăng khăng, khư khư, cố chấp, ngoan cố
+) dai dẳng
+) (sinh vật học) bền, không rụng (lá, sừng, lông)
+) ổn định, vững
+) normally p. (đại số) ổn định, chuẩn tắc"
pruning,something that has been pruned off of a plant,n,,pruning,"
+) sự tỉa, sự xén bớt; sự chặt bớt
+) sự cắt bớt, sự lược bớtprune /prune/
+) sửa, tỉa bớt, xén bớt
+) (nghĩa bóng) cắt bớt, xén bớt, lược bớt (những phần thừa...)
+) mận khô
+) màu mận chín, màu đỏ tím
+) cách nói nhỏ nhẻ õng ẹo"
marked,attach a tag or label to,v,label these bottles,tag,"
+) rõ ràng, rõ rệt
+) bị để ý (vì tình nghi, để báo thù...)mark /mɑ:k/
+) đồng Mác (tiền Đức)
+) dấu, nhãn, nhãn hiệu
+) dấu, vết, lằn
+) bớt (người), đốm, lang (súc vật)
+) dấu chữ thập (thay chữ ký của những người không biết viết)
+) đích, mục đích, mục tiêu ((nghĩa đen) &amp;amp; (nghĩa bóng))
+) chứng cớ, biểu hiện
+) danh vọng, danh tiếng
+) mức, tiêu chuẩn, trình độ
+) điểm, điểm số
+) đánh dấu, ghi dấu
+) cho điểm, ghi điểm
+) chỉ, bày tỏ; biểu lộ, biểu thị; chứng tỏ, đặc trưng
+) để ý, chú ý
+) ghi (giá hàng) hạ hơn (trên phiếu ghi giá)
+) chọn lựa, phân biệt, tách ra ((nghĩa đen) &amp;amp; (nghĩa bóng))
+) giới hạn, vẽ ranh giới, quy định ranh giới (để xây dựng)
+) vạch (con đường); vạch, đề ra (kế hoạch)
+) chỉ định, chọn lựa (để làm một nhiệm vụ, công việc gì)
+) ghi (giá hàng) cao hơn (trên phiếu ghi giá)
+) định giá bán (bằng cách cộng thêm kinh phí vào giá vốn)
+) (quân sự) giậm chân tại chỗ theo nhịp
+) (nghĩa bóng) giậm chân tại chỗ, không tiến chút nào
+) ký hiệu, dấu hiệu, vết; mức; cận; giới hạn // ghi dấu hiệu
+) class m. điểm giữa khoảng nhóm
+) dot m. dấu hiệu phân biệt
+) reference m. (máy tính) dấu hiệu kiểm tra; dấu hiệu cơ sở
+) quotation m.s dấu ngoặc kép (&amp;amp;quot; &amp;amp;quot;)
+) timing m. dấu hiệu thời gian"
filtered,remove by passing through a filter,v,filter out the impurities,filter,"
+) đã được lọcFilter
+) (Econ) Bộ lọc.
+) Tên gọi của một công thức hay một phương thức nhằm loại bỏ những biến động không mong muốn của số liệu.filter /'filtə/
+) cái lọc, máy lọc (xăng, không khí)
+) (nhiếp ảnh) cái lọc (ánh sáng)
+) (raddiô) bộ lọc
+) (thông tục) đầu lọc (ở đầu điếu thuốc lá)
+) lọc
+) ngấm qua; thấm qua; thấm vào, xâm nhập
+) tiết lộ ra; lọt ra (tin tức...)
+) nối (vào đường giao thông)
+) (Tech) bộ lọc (quang/sóng); màn che; chương trình lọc
+) (điều khiển học); (vật lí) cái lọc, bộ lọc, máy lọc
+) all-pass f. máy lọc pha
+) amplitude f. máy lọc biên độ
+) band f. máy lọc giải
+) band-elimination f. máy lọc khử theo giải
+) bandpass f. cái lọc băng (giải)
+) elamping f. cái lọc được giữ cố định
+) compensating f. cái lọc bổ chính
+) discontinuous f. máy lọc xung
+) feedback f. cái lọc hệ ngược
+) frequency f. cái lọc tần số
+) high-pass f. cái lọc sao
+) infinite memory f. bộ lọc có nhớ vô hạn
+) interference f. máy lọc chống nhiễu loạn
+) lossless f. máy lọc không hao
+) low-pass f. máy lọc các tần thấp
+) mode f. cái lọc kiểu sóng
+) noise f. cái lọc tiếng ồn
+) nonlinear f. bộ lọc không tuyến tính
+) normalized f. bộ lọc được chuẩn hoá
+) optimun f. bộ lọc tối ưu
+) output f. máy lọc (có) lối ra
+) predicting f. cái lọc tiên đoán
+) pulsed f. máy lọc xung
+) seperation f. cái lọc tách
+) stable f. cái lọc ổn định
+) suppression f. máy lọc chẵn
+) total f. bộ lọc phức
+) tuned f. cái lọc cộng hưởng
+) wave f. cái lọc sóng"
redundant,"more than is needed, desired, or required",s,"trying to lose excess weight
found some extra change lying on the dresser
yet another book on heraldry might be thought redundant",excess,"
+) thừa, dư
+) rườm rà (văn)
+) dôi, thừa, dư"
additionally,"in addition, by way of addition; furthermore",r,he serves additionally as the CEO,additionally,"
+) thêm nữa, ngoài ra"
losing,"fail to keep or to maintain; cease to have, either physically or in an abstract sense",v,She lost her purse when she left it unattended on her seat,lose,"
+) nhất định thua, nhất định thất bại, không hòng thắnglose /lu:z/
+) mất không còn nữa
+) mất, mất hút, không thấy nữa; lạc, thất lạc
+) bỏ lỡ, bỏ uổng, bỏ qua
+) thua, bại
+) uổng phí, bỏ phí
+) làm hại, làm mất, làm hư, di hại
+) chậm (đồng hồ)
+) dạng bị động mê man, say sưa, chìm đắm, triền miên; mất hết không còn nữa; bị lu mờ
+) mất; mất ý nghĩa, mất hay
+) thơ Hồ Xuân Hương dịch ra bị mất hay đi nhiều
+) thất bại, thua, thua lỗ
+) chúng nó thua và ta thắng
+) chậm (đồng hồ)
+) (xem) ground
+) mất hết can đảm, mất hết hăng hái
+) lo nghĩ mất ngủ về cái gì
+) lạc đường, lạc lối
+) mất bình tĩnh, nổi nóng, cáu
+) rối trí, hoang mang
+) mất bình tĩnh, mất tự chủ, nóng nảy
+) lạc đường
+) một tâm hồn sa đoạ, một tâm hồn tội lỗi không hòng gì cứu chữa được nữa
+) mất"
serving,an individual quantity of food or drink taken as part of a meal,n,"the helpings were all small
his portion was larger than hers
there's enough for two servings each",helping,"
+) ống bọc cáp
+) một phần nhỏ thức ăn, thức uốngserve /sə:v/
+) (thể dục,thể thao) cú giao bóng; lượt giao bóng (quần vợt...)
+) phục vụ, phụng sự
+) đáp ứng, có lợi cho, thoả mãn, hợp với
+) dọn ăn, dọn bàn
+) cung cấp, tiếp tế; phân phát
+) (thể dục,thể thao) giao bóng; giao (bóng)
+) đối xử, đối đãi
+) (pháp lý) tống đạt, gửi
+) dùng (về việc gì)
+) nhảy (cái) (ngựa giống)
+) khi có điều kiện thuận lợi, lúc thuận lợi
+) mỗi khi nhớ đến
+) độc ác, nham hiểm
+) ngoan đạo
+) nếu tôi không nhầm
+) (xem) right
+) làm hết một nhiệm kỳ
+) (xem) apprenticeship
+) chịu hết hạn tù
+) giữ chức vụ hết nhiệm kỳ
+) (như) to serve one's sentence
+) trả thù ai, ăn miếng trả miếng ai
+) phục vụ, thoả mãn; xử lý, điều khiển (máy)"
intentionally,with intention; in an intentional manner,r,"he used that word intentionally
I did this by choice",intentionally,"
+) cố ý, cố tình"
excluded,prevent from being included or considered or accepted,v,"The bad results were excluded from the report
Leave off the top piece",exclude,"
+) bị loại trừexclude /iks'klu:d/
+) không cho (ai...) vào (một nơi nào...); không cho (ai...) hưởng (quyền...)
+) ngăn chận
+) loại trừ
+) đuổi tống ra, tống ra
+) loại trừ"
evident,clearly revealed to the mind or the senses or judgment,s,"the effects of the drought are apparent to anyone who sees the parched fields
evident hostility
manifest disapproval",apparent,"
+) hiển nhiên, rõ rệt
+) rõ ràng"
hybrid,"a word that is composed of parts from different languages (e.g., `monolingual' has a Greek prefix and a Latin root)",n,,loanblend,"
+) cây lai; vật lai; người lai
+) từ ghép lai
+) lai"
shrinkage,process or result of becoming less or smaller,n,the material lost 2 inches per yard in shrinkage,shrinking,"
+) sự co lại (của vải...)
+) sự hụt cân (của súc vật từ khi chuyên chở đến khi giết thịt)
+) số lượng co
+) số cân hụt"
forced,"to cause to do through pressure or necessity, by physical, moral or intellectual means :",v,"She forced him to take a job in the city
He squeezed her for information",coerce,"
+) bắt ép, ép buộc, gượng gạo
+) rấm (quả)
+) bị cưỡng bứcforce /fɔ:s/
+) thác nước
+) sức, lực, sức mạnh
+) vũ lực, quyền lực; sự bắt buộc
+) quân đội, quân lực; (số nhiều) quân, lực lượng (quân đội)
+) ảnh hưởng, tác dụng; sức thuyết phục
+) sự tác động mạnh mẽ, ấn tượng sâu sắc; sự sinh động
+) (pháp lý) hiệu lực
+) ý nghĩa
+) (vật lý) lực; (từ cổ,nghĩa cổ) năng lượng
+) do nhờ, bằng cách
+) (quân sự) nhiều
+) mạnh mẽ, sung sức
+) dùng vũ lực đối với, bức hiếp, ép buộc, cưỡng ép, bắt buộc
+) phá (cửa); bẻ (khoá)
+) (đánh bài) bắt, ép (phải đưa một quân nào ra)
+) ép, gượng
+) làm (quả) chín gượng, làm chín sớm; làm (hoa) nở ép, làm nở sớm; thúc cho (cây) chóng lớn
+) thúc đẩy, đẩy tới
+) cưỡng đoạt, chiếm
+) bắt ai phải hành động hơi sớm; buộc ai phải manh động
+) bắt ai phải công nhận một chính sách
+) lực, cường độ"
sufficiently,to a sufficient degree,r,she was sufficiently fluent in Mandarin,sufficiently,"
+) đủ, thích đáng"
overlap,a representation of common ground between theories or phenomena,n,there was no overlap between their proposals,overlap,"
+) sự gối lên nhau
+) phần đè lên nhau, phần gối lên nhau[,ouvə'læp]
+) lấn lên, gối lên
+) lấn lên nhau, gối lên nhau
+) phủ lên, che khuất, sự đề (lấn) lên nhau"
minimize,make small or insignificant,v,Let's minimize the risk,minimize,"
+) giảm đến mức tối thiểu
+) đánh giá thấp
+) cực tiểu hoá"
communicable,(of disease) capable of being transmitted by infection,s,,catching,"
+) có thể truyền đạt, có thể cho biết, có thể thông tri
+) có thể lan truyền, có thể lây"
center,an area that is approximately central within some larger region,n,"it is in the center of town
they ran forward into the heart of the struggle
they were in the eye of the storm",center,"
+) (từ Mỹ,nghĩa Mỹ) (như) centre"
epidemiology,the branch of medical science dealing with the transmission and control of disease,n,,epidemiology,"
+) khoa nghiên cứu bệnh dịch, dịch tễ học"
hostility,a hostile (very unfriendly) disposition,n,he could not conceal his hostility,hostility,"
+) sự thù địch; thái độ thù địch; hành vi thù địch
+) tình trạng chiến tranh
+) (số nhiều) hành động chiến tranh; chiến sự
+) trong lúc có chiến sự
+) sự chống đối (về tư tưởng...)"
compulsiveness,the trait of acting compulsively,n,,compulsiveness,"
+) tính chất ép buộc"
obsessive,a person who has obsessions,n,,obsessive,"
+) ám ảnh"
aids,a serious (often fatal) disease of the immune system transmitted through blood products especially by sexual contact or contaminated needles,n,,AIDS,"
+) (viết tắt của Acquired Immune Deficiency Syndrome) bệnh liệt kháng, bệnh aidsAid
+) (Econ) Viện trợ
+) Xem FOREIGN AID.aid /eid/
+) sự giúp đỡ, sự cứu giúp, sự viện trợ
+) người giúp đỡ, người phụ tá
+) (sử học) thuế (nộp cho nhà vua); công trái
+) ((thường) số nhiều) những phương tiện để giúp đỡ
+) nhờ sự giúp đỡ của
+) (xem) lend
+) tất cả những cái này dùng để làm gì?
+) thêm vào, phụ vào // sự thêm vào, sư phụ vào
+) training a. sách giáo khoa
+) visual a. đồ dùng giảng dạy"
psychological,mental or emotional as opposed to physical in nature,s,"give psychological support
psychological warfare",psychological,"
+) (thuộc) tâm lý
+) vào lúc thích hợp về tâm lý;(đùa cợt) vào lúc thuận lợi nhất
+) (thuộc) tâm lý học"
multicollinearity,a case of multiple regression in which the predictor variables are themselves highly correlated,n,,multicollinearity,"
+) (thống kê) đa cộng tuyến"
populate,inhabit or live in; be an inhabitant of,v,"People lived in Africa millions of years ago
The people inhabited the islands that are now deserted
this kind of fish dwells near the bottom of the ocean",populate,"
+) ở, cư trú (một vùng)
+) đưa dân đến"
providing,give something useful or necessary to,v,We provided the room with an electrical heater,supply,"
+) được chuẩn bị đầy đủ, được dự phòng
+) được cung cấp, được chu cấp
+) trường tiểu học công do chính quyền địa phương đài thọ
+) với điều kiện là, miễn là ((cũng) provided that)provide /provide/
+) ((thường) + for,  against) chuẩn bị đầy đủ, dự phòng
+) ((thường) + for) cung cấp, chu cấp, lo cho cái ăn cái mặc cho; lo liệu cho
+) ((thường) + with,  for,  to) cung cấp, kiếm cho
+) (pháp lý) quy định
+) (sử học),  (tôn giáo) (+ to) chỉ định, bổ nhiệm (ai vào một thánh chức có lộc)"
reproduce,make a copy or equivalent of,v,reproduce the painting,reproduce,"
+) tái sản xuất
+) làm sinh sôi nẩy nở; tái sinh, mọc lại
+) sao chép, sao lại, mô phỏng
+) tái sản xuất, tái lập"
resemble,appear like; be similar or bear a likeness to,v,"She resembles her mother very much
This paper resembles my own work",resemble,"
+) giống với (người nào, vật gì)
+) giống nhau"
psychiatric,relating to or used in or engaged in the practice of psychiatry,a,"psychiatric disorder
psychiatric hospital",psychiatric,"
+) (thuộc) bệnh tinh thần, (thuộc) bệnh tâm thần"
informatics,"the sciences concerned with gathering, manipulating, storing, retrieving, and classifying recorded information",n,,information_science,"
+) khoa học về thông tin, tin học"
theoretical,concerned primarily with theories or hypotheses rather than practical considerations,a,theoretical science,theoretical,"
+) (thuộc) lý thuyết; có tính chất lý thuyết
+) (mỉa mai) lý thuyết suông, suông, không thực tế"
impairment,the occurrence of a change for the worse,n,,damage,"
+) sự làm suy yếu, sự làm sút kém; sự suy yếu, sự sút kém
+) sự làm hư hỏng, sự làm hư hại; sự hư hỏng, sự hư hại"
unimportant,not important,a,"a relatively unimportant feature of the system
the question seems unimportant",unimportant,"
+) không quan trọng, không đáng kể"
reliance,certainty based on past experience,n,"he wrote the paper with considerable reliance on the work of other scientists
he put more trust in his own two legs than in the gun",reliance,"
+) sự tin cậy, sự tín nhiệm
+) nơi nương tựa"
functional,designed for or capable of a particular function or use,a,"a style of writing in which every word is functional
functional architecture",functional,"
+) (như) functionary
+) (toán học) (thuộc) hàm, (thuộc) hàm số
+) (hoá học) (thuộc) chức
+) (Tech) thuộc cơ năng/chức năng, thuộc hàm số
+) (thuộc) hàm (số)"
distress,psychological suffering,n,the death of his wife caused him great distress,distress,"
+) nỗi đau buồn, nỗi đau khổ, nỗi đau đớn
+) cảnh khốn cùng, cảnh túng quẫn, cảnh gieo neo
+) tai hoạ, cảnh hiểm nghèo, cảnh hiểm nguy
+) tình trạng kiệt sức, tình trạng mệt lả, tình trạng mệt đứt hơi
+) (pháp lý) sự tịch biên
+) làm đau buồn, làm đau khổ, làm đau đớn
+) làm lo âu, làm lo lắng
+) bắt chịu gian nan, bắt chịu khốn khổ
+) làm kiệt sức"
plateau,a relatively flat highland,n,,tableland,"
+) cao nguyên
+) đoạn bằng (của đô thị)
+) khay có trang trí, đĩa có trang trí
+) biển trang trí (bằng đồng, bằng sứ)
+) mũ chóp bằng (của đàn bà)"
converging,the act of converging (coming closer),n,,convergence,"
+) (vật lý); (toán học) hội tụ
+) (toán học); (vật lý) hội tụ (tia sáng); đồng quy
+) cùng kéo về, cùng đổ về (một nơi)
+) hội tụ, đồng quy
+) c. in the mean hội tụ trung bình
+) c. to a limat hội tụ tới một giới hạn"
regardless,(usually followed by `of') without due thought or consideration,s,"careless of the consequences
crushing the blooms with regardless tread",careless,"
+) không kể, không đếm xỉa tới, không chú ý tới; bất chấp"
refine,improve or perfect by pruning or polishing,v,refine one's style of writing,polish,"
+) lọc, lọc trong, luyện tinh, tinh chế
+) làm cho tinh tế hơn, làm cho lịch sự hơn, làm cho tao nhã hơn, làm cho sành sõi hơn (sở thích, ngôn ngữ, tác phong...)
+) trở nên tinh tế hơn, trở nên lịch sự hơn, trở nên tao nhã hơn, trở nên sành sõi hơn (sở thích, ngôn ngữ, tác phong...)
+) (+ on,  upon) tinh tế, tế nhị (trong cách suy nghĩ, ăn nói...)
+) (+ on,  upon) làm tăng thêm phần tinh tế, làm tăng thêm phần tế nhị
+) làm mịn"
accumulate,get or gather together,v,"I am accumulating evidence for the man's unfaithfulness to his wife
She is amassing a lot of data for her thesis
She rolled up a small fortune",roll_up,"
+) chất đống, chồng chất, tích luỹ, gom góp lại
+) làm giàu, tích của
+) thi cùng một lúc nhiều bằng (ở trường đại học)
+) (Tech) tích lũy [TQ], lũy tích [TQ], lũy toán [NB], cộng dồn(đ)
+) tích luỹ, tụ"
iterative,the aspect of the verb that expresses the repetition of an action,n,,iterative,"
+) nhắc lại, lắp lại, nhắc đi nhắc lại, lặp đi lặp lại
+) (ngôn ngữ học) lặp
+) lặp"
coming,the act of drawing spatially closer to something,n,the hunter's approach scattered the geese,approach,"
+) sự đến, sự tới
+) sắp tới, sắp đến
+) có tương lai, có triển vọng, hứa hẹn
+) đến, tới, đi đến, đi tới, đi lại
+) sắp đến, sắp tới
+) xảy ra, xảy đến
+) thấy, ở, thấy ở
+) nên, thành ra, hoá ra, trở nên, trở thành
+) hình thành; đặc lại, đông lại (nước xốt, tiết canh...)
+) (lời mệnh lệnh) nào! nào, nào!; thế, thế!
+) (từ lóng) hành động, làm, xử sự
+) xảy ra, xảy đến
+) đối chiếu
+) tình cờ gặp, bắt gặp, tình cờ thấy
+) theo sau, đi theo
+) nối dòng, nối nghiệp, kế nghiệp, kế thừa
+) trở lại
+) đụng phải, va phải
+) tách ra, lìa ra, rời ra, bung ra
+) đạt tới, đến được, nắm được, thấy
+) xổ vào, xông vào (tấn công)
+) đi xa, đi khỏi, rời khỏi
+) lìa ra, rời ra, bung ra
+) quay lại, trở lại (địa vị, quyền lợi...)
+) được, nhớ lại
+) (từ Mỹ,nghĩa Mỹ),  (từ lóng) đáp lại, cãi lại
+) đứng giữa (làm môi giới, điều đình)
+) can thiệp vào, xen vào
+) qua, đi qua
+) có được, kiếm được, vớ được
+) xuống, đi xuống
+) được truyền lại, được để lại (phong tục, tập quán, truyền thống...)
+) sụp đổ (nhà cửa...)
+) sa sút, suy vị, xuống dốc
+) mắng nhiếc, xỉ vả; trừng phạt
+) đòi tiền; đòi bồi thường
+) xuất tiền, trả tiền, chi
+) đứng ra, xung phong
+) đi vào, trở vào
+) (thể dục,thể thao) về đích (chạy đua)
+) được tuyển, được bầu; lên nắm quyền
+) vào két, nhập két, thu về (tiền)
+) lên, dâng (thuỷ triều); bắt đầu (mùa)
+) thành mốt, thành thời trang
+) tỏ ra
+) có phần, được hưởng phần
+) ngắt lời, chận lời, nói chặn
+) to come into the world ra đời; to come into power nắm chính quyền; to come into being (existence) hình thành, ra đời; to come into fashion thành mốt; to come into force (effect) có hiệu lực; to come into notice làm cho phải chú ý
+) được hưởng, thừa hưởng
+) do... mà ra, bởi... mà ra; là kết quả của
+) xuất thân từ
+) bong ra, róc ra, rời ra, bật ra
+) thoát khỏi vòng khó khăn, xoay xở xong
+) được thực hiện, được hoàn thành
+) (thông tục) come off it! thôi câm mồm đi! thôi đi, đừng có nói như vậy!; thôi đừng có dở cái giọng ấy ra nữa!
+) đi tiếp, đi tới
+) tiến lên, tới gần
+) nổi lên thình lình (gió, bão), phát ra thình lình (bệnh); tiến bộ, tiếp tục phát triển, mau lớn (cây, đứa bé...)
+) được đem ra thảo luận (vấn đề, dự luật...)
+) được trình diễn trên sân khấu
+) ra sân khấu (diễn viên)
+) ra toà
+) ra, đi ra
+) đình công
+) vượt khỏi (thử thách với ít nhiều thành công)
+) lộ ra ((nghĩa đen) &amp;amp; (nghĩa bóng))
+) được xuất bản; ra (sách, báo)
+) được xếp (trong kỳ thi)
+) mới ra đời; mới lên sân khấu lần đầu
+) vượt (biển), băng (đồng...)
+) sang phe, theo phe
+) choán, trùm lên (người nào)
+) đi nhanh, đi vòng
+) hồi phục (sức khoẻ sau trận ốm); hồi tỉnh, tỉnh lại (sau cơn ngất, sau khi bị đánh thuốc mê); nguôi đi, dịu đi (sau cơn giận...)
+) trở lại, quay lại, tới (có định kỳ)
+) tạt lại chơi
+) thay đổi hẳn ý kiến, thay đổi hẳn quan điểm
+) đến, đi đến
+) hồi tỉnh, tỉnh lại; tỉnh trí lại; tỉnh ngộ
+) thừa hưởng, được hưởng
+) lên tới
+) (hàng hải) bỏ neo; dừng lại (tàu)
+) rơi vào loại, nằn trong loại
+) rơi vào, chịu (ảnh hưởng)
+) tới gần, đến gần (ai, một nơi nào)
+) được nêu lên, được đặt ra (vấn đề để thảo luận)
+) (từ hiếm,nghĩa hiếm) thành mốt
+) lên tới, đạt tới, theo kịp, bắt kịp
+) vào đại học
+) tấn công bất thình lình, đột kích
+) chợt gặp, bắt gặp, chợt thấy
+) chợt nảy ra trong óc, chợt có ý nghĩ
+) là một gánh nặng cho, đè lên đầu (ai); yêu cầu đòi hỏi, bắt chịu trách nhiệm
+) chợt nảy ra ý nghĩ
+) (xem) cropper
+) (thông tục) đi nào; mau lên, nhanh lên
+) thú nhận, nói hết
+) không có gì khó khăn đối với ai
+) trở về nhà, trở lại nhà
+) gây ấn tượng, được hiểu rõ, có hiệu lực, có hiệu quả; đánh trúng, đánh trúng vào chỗ yếu, chạm nọc
+) đến gần, suýt nữa
+) đến tuổi trưởng thành
+) (từ Mỹ,nghĩa Mỹ),  (thông tục) đừng có làm bộ làm tịch nữa!, đừng có lên râu nữa!
+) muốn nói gì thì nói đi!
+) đúng (tính...)
+) thu xếp, ổn thoả, thu xếp xong xuôi
+) không đạt được, thất bại
+) thiếu, không đủ đáp ứng yêu cầu
+) đến trước thì được giải quyết trước, đến trước thì được phục vụ trước
+) (từ Mỹ,nghĩa Mỹ),  (thông tục) thế nào?, sao?
+) thật là một vố đau cho nó"
sectional,a piece of furniture made up of sections that can be arranged individually or together,n,,sectional,"
+) (thuộc) tầng lớp
+) (thuộc) mặt cắt; chia theo mắt cắt
+) (thuộc) đoạn
+) (thuộc) tiết diện"
observational,relying on observation or experiment,s,experimental results that supported the hypothesis,experimental,"
+) (thuộc) sự quan sát, (thuộc) sự theo dõi
+) (thuộc) khả năng quan sát
+) (thuộc) quan sát, quan trắc"
agnostic,someone who is doubtful or noncommittal about something,n,,agnostic,"
+) (triết học) (thuộc) thuyết không thể biết
+) (triết học) người theo thuyết không thể biết"
expanded,extend in one or more directions,v,The dough expands,expand,"
+) khuếch đạiexpand /iks'pænd/
+) mở rộng, trải ra
+) nở ra, phồng ra, giãn
+) (toán học) khai triển
+) phát triển (một vấn đề...)
+) trở nên cởi mở
+) mở rộng, khai triển"
subsequently,happening at a time subsequent to a reference time,r,"he apologized subsequently
he's going to the store but he'll be back here later
it didn't happen until afterward",subsequently,"
+) rồi thì, rồi sau đó
+) về sau"
explanatory,serving or intended to explain or make clear,s,"explanatory notes
an explanatory paragraph",explanatory,"
+) để giảng, để giảng giải, để giải nghĩa
+) để giải thích, để thanh minh
+) giả thích"
nonetheless,despite anything to the contrary (usually following a concession),r,"although I'm a little afraid, however I'd like to try it
while we disliked each other, nevertheless we agreed
he was a stern yet fair master",however,"
+) trạng từ
+) tuy nhiên, dù sao"
unchanged,not made or become different,a,the causes that produced them have remained unchanged,unchanged,"
+) không thay đổi, như cũ, y nguyên"
participation,the act of sharing in the activities of a group,n,the teacher tried to increase his students' engagement in class activities,engagement,"
+) sự tham gia, sự tham dự, sự góp phần vào"
consent,permission to do something,n,he indicated his consent,consent,"
+) sự đồng ý, sự ưng thuận, sự bằng lòng, sự thoả thuận; sự tán thành)
+) tuổi kết hôn, tuổi cập kê
+) (xem) silence
+) đồng ý, ưng thuận, thoả thuận; tán thành
+) (Tech) ưng thuận"
