word,meaning,part_of_speech,examples,meaning_vi,phonetic,count
associated,"
+) make a logical or causal connection",v,"
+) I cannot connect these two pieces of evidence in my mind
+) colligate these facts
+) I cannot relate these events at all","+) liên kếtassociate /ə'souʃiit/
+) kết giao, kết hợp liên hợp; liên đới
+) (từ Mỹ,nghĩa Mỹ) cùng cộng tác, phụ, phó, trợ",associate,0.0
association,"
+) a formal organization of people or groups of people",n,"
+) he joined the Modern Language Association
+) you cannot be convicted of criminal guilt by association
+) his association of his father with being beaten was too strong to break","+) sự kết hợp, sự liên hợp, sự liên kết; sự liên đới
+) sự kết giao, sự giao thiệp
+) sự liên tưởng",association,0.0
attempt,"
+) earnest and conscientious activity intended to do or accomplish something","n, v","
+) made an effort to cover all the reading material
+) wished him luck in his endeavor
+) she gave it a good try","+) sự cố gắng, sự thử
+) (attemper on,  upon) sự mưu hại, sự xâm phạm, sự phạm đến
+) cố gắng; thử, toan",attempt,0.0
beyond,"
+) farther along in space or time or degree",r,"
+) through the valley and beyond
+) to the eighth grade but not beyond
+) will be influential in the 1990s and beyond","+) ở xa, ở phía bên kia
+) ở bên kia
+) quá, vượt xa hơn",beyond,0.0
bacteria,"
+) (microbiology) single-celled or noncellular spherical or spiral or rod-shaped organisms lacking chlorophyll that reproduce by fission; important as pathogens and for biochemical properties; taxonomy is difficult; often considered to be plants",n,"
+) ","+) vi khuẩnbacterium /bæk'tiəriəm/
+) vi khuẩn",bacteria,0.0
bar,"
+) a room or establishment where alcoholic drinks are served over a counter","n, v","
+) he drowned his sorrows in whiskey at the bar
+) he bought a hot dog and a coke at the bar
+) there were bars in the windows to prevent escape","+) barơ (đơn vị áp suất)
+) thanh, thỏi
+) chấn song; then chắn (cửa)",barroom,0.0
barrier,"
+) a structure or object that impedes free movement",n,"
+) intolerance is a barrier to understanding","+) đặt vật chướng ngại (để chặn, phòng thủ)
+) chắn ngang
+) chắn lại không cho ra",barrier,0.0
basically,"
+) in essence; at bottom or by one's (or its) very nature",r,"
+) He is basically dishonest
+) the argument was essentially a technical one
+) for all his bluster he is in essence a shy person","+) cơ bản, về cơ bản",basically,0.0
beg,"
+) call upon in supplication; entreat",v,"
+) I beg you to stop!
+) Henry IV solicited the Pope for a divorce
+) My neighbor keeps soliciting money for different charities","+) ăn xin, xin
+) cầu xin; đề nghi thiết tha, khẩn cầu
+) xin trân trọng (trong thư giao dịch)",beg,0.0
bent,"
+) a relatively permanent inclination to react in a particular way","s, n, v","
+) the set of his mind was obvious
+) he had a bent for it
+) he had a special knack for getting into trouble","+) khiếu, sở thích; xu hướng, khuynh hướng
+) theo những năng khiếu của mình
+) thoả chí, thoả thích",bent,0.0
bet,"
+) the money risked on a gamble","n, v","
+) he did it on a bet
+) I bet she will be there!
+) I bet $100 on that new horse","+) sự đánh cuộc
+) tiền đánh cuộc
+) đánh cuộc, đánh cá",stake,0.0
cast,"
+) the actors in a play","n, v","
+) pottery of this cast was found throughout the region
+) the delicate cast of his features
+) She threw the flashlight beam into the corner","+) sự quăng, sự ném (lưới...); sự thả (neo...); sự gieo (súc sắc...)
+) (nghĩa bóng) sự thử làm, sự cầu may
+) khoảng ném; tầm xa (của mũi tên)",cast,0.0
cell,"
+) any small compartment",n,"
+) the cells of a honeycomb","+) phòng nhỏ
+) xà lim
+) lỗ tổ ong",cell,0.0
chairman,"
+) the officer who presides at the meetings of an organization","n, v","
+) address your remarks to the chairperson
+) She chaired the department for many years","+) chủ tịch; người chủ toạ (buổi họp)
+) người cho thuê ghế lăn; người đẩy ghế lăn
+) (từ cổ,nghĩa cổ) người khiêng kiệu",president,0.0
conservative,"
+) a person who is reluctant to accept changes and new ideas","a, n, s","
+) a conservative estimate
+) a colorful character in the buttoned-down, dull-grey world of business
+) a bourgeois mentality","+) để giữ gìn, để duy trì, để bảo tồn, để bảo toàn
+) bảo thủ, thủ cựu
+) thận trọng, dè dặt; vừa phải, phải chăng",conservative,0.0
concern,"
+) something that interests you because it is important or affects you","n, v","
+) the safety of the ship is the captain's concern
+) care had aged him
+) they hushed it up out of fear of public reaction","+) (+ with) sự liên quan tới, sự dính líu tới
+) (+ in) lợi, lợi lộc; phần, cổ phần
+) việc, chuyện phải lo",concern,0.0
concerned,"
+) be relevant to","a, v, s","
+) There were lots of questions referring to her talk
+) My remark pertained to your earlier comments
+) I worry about the second Germanic consonant shift","+) có liên quan; có dính líu
+) lo lắng, lo âu; quan tâm
+) (+ with) sự liên quan tới, sự dính líu tới",refer,0.0
conduct,"
+) manner of acting or controlling yourself","n, v","
+) You cannot conduct business like this
+) conduct an orchestra; Barenboim conducted the Chicago symphony for years
+) She carried herself well","+) hạnh kiểm, tư cách, đạo đức, cách cư xử
+) sự chỉ đạo, sự điều khiển, sự hướng dẫn; sự quản lý
+) (nghệ thuật) cách sắp đặt, cách bố cục (vở kịch, bài thơ...)",behavior,0.0
confidence,"
+) freedom from doubt; belief in yourself and your abilities",n,"
+) his assurance in his superiority did not make him popular
+) after that failure he lost his confidence
+) she spoke with authority","+) sự nói riêng; sự giãi bày tâm sự
+) chuyện riêng, chuyện tâm sự, chuyện kín, chuyên bí mật
+) sự tin, sự tin cậy, sự tin tưởng",assurance,0.0
conflict,"
+) an open clash between two opposing groups (or individuals); --Thomas Paine","n, v","
+) the harder the conflict the more glorious the triumph
+) police tried to control the battle between the pro- and anti-abortion mobs
+) he was immobilized by conflict and indecision","+) sự xung đột, sự tranh giành, sự va chạm
+) cuộc xung đột
+) sự đối lập, sự mâu thuẫn",conflict,0.0
confusing,"
+) mistake one thing for another","s, v","
+) you are confusing me with the other candidate
+) I mistook her for the secretary
+) These questions confuse even the experts","+) khó hiểu, gây bối rốiconfuse /kən'fju:z/
+) làm lộn xộn, làm lung tung, xáo trộn
+) làm cho mơ hồ, làm cho mập mờ, làm cho tối, làm rối rắm (ý nghĩa...)",confuse,0.0
conscious,"
+) intentionally conceived","a, s","
+) a conscious effort to speak more slowly
+) a conscious policy
+) remained conscious during the operation","+) biết rõ, thấy rõ, tỉnh, tỉnh táo, có ý thức",conscious,0.0
consideration,"
+) the process of giving careful thought to something",n,"
+) another consideration is the time it would take
+) consideration of the traffic problem took more than an hour
+) he showed no consideration for her feelings","+) sự cân nhắc, sự suy xét, sự nghiên cứu, sự suy nghĩ
+) sự để ý, sự quan tâm, sự lưu ý
+) sự tôn kính, sự kính trọng",consideration,0.0
characteristic,"
+) a prominent attribute or aspect of something","a, n","
+) the map showed roads and other features
+) generosity is one of his best characteristics
+) heard my friend's characteristic laugh","+) riêng, riêng biệt, đặc thù, đặc trưng
+) đặc tính, đặc điểm
+) (Tech) đặc tuyến, đường (cong); đặc trưng; đặc tính; tham số/lượng; giai mã [TQ]",feature,0.0
consistent,"
+) (sometimes followed by `with') in agreement or consistent or reliable; ; - FDR","a, s","
+) testimony consistent with the known facts
+) I have decided that the course of conduct which I am following is consistent with my sense of responsibility as president in time of war
+) astonishingly reproducible results can be obtained","+) đặc, chắc
+) (+ with) phù hợp, thích hợp
+) kiên định, trước sau như một",consistent,0.0
constant,"
+) a quantity that does not vary","a, n, s","
+) the velocity of light is a constant
+) maintained a constant temperature
+) principles of unvarying validity","+) bền lòng, kiên trì
+) kiên định, trung kiên; trung thành, chung thuỷ
+) không ngớt, không dứt, liên miên, liên tiếp",constant,0.0
constantly,"
+) without variation or change, in every case",r,"
+) constantly kind and gracious
+) he always arrives on time
+) the world is constantly changing","+) (toán học); (vật lý) hằng số
+) luôn luôn, liên miên",constantly,0.0
construct,"
+) an abstract or general idea inferred or derived from specific instances","n, v","
+) this little pig made his house out of straw
+) Some eccentric constructed an electric brassiere warmer
+) the company fabricates plastic chairs","+) làm xây dựng (nhà cửa...)
+) đặt (câu)
+) vẽ (hình); dựng (vở kịch)",concept,0.0
construction,"
+) the act of constructing something",n,"
+) during the construction we had to take a detour
+) his hobby was the building of boats
+) I concluded from his awkward constructions that he was a foreigner","+) sự xây dựng
+) vật được xây dựng
+) (ngôn ngữ học) cách đặt câu; cấu trúc câu",construction,0.0
contemporary,"
+) a person of nearly the same age as another","n, s","
+) contemporary trends in design
+) the role of computers in modern-day medicine
+) contemporary leaders","+) temporary)
+) đương thời
+) cùng thời; cùng tuổi (người); xuất bản cùng thời (báo chí)",contemporary,0.0
contract,"
+) a binding agreement between two or more persons that is enforceable by law","n, v","
+) They signed two new pitchers for the next season
+) she compressed her lips
+) the spasm contracted the muscle","+) hợp đồng, giao kèo, khế ước, giấy ký kết
+) sự ký hợp đồng, sự ký giao kèo, việc bỏ thầu, việc đấu giá
+) đính ước, giao ước, kết giao",contract,0.0
concept,"
+) an abstract or general idea inferred or derived from specific instances",n,"
+) ","+) (Tech) khái niệm, quan niệm
+) khái niệm, quan niệm
+) absolute c. khái niệm tuyệt đối",concept,0.0
concentration,"
+) the strength of a solution; number of molecules of a substance in a given volume",n,"
+) ","+) sự tập trung; nơi tập trung
+) (hoá học) sự cô
+) (Tech) tập trung, cô đặc; nồng độ, hàm lượng [TN]",concentration,0.0
component,"
+) an abstract part of something",n,"
+) jealousy was a component of his character
+) two constituents of a musical composition are melody and harmony
+) the grammatical elements of a sentence","+) hợp thành, cấu thành
+) thành phần, phần hợp thành
+) (Tech) thành phần, bộ phận; tổ/bộ kiện",component,0.0
complicated,"
+) make more complicated","s, v","
+) There was a new development that complicated the matter
+) refine a design or pattern
+) a complicated problem","+) phức tạp, rắc rối
+) làm phức tạp, làm rắc rối",complicate,0.0
chief,"
+) a person who is in charge","n, s","
+) the head of the whole operation
+) if you want to leave early you have to ask the foreman
+) the chief aim of living","+) thủ lĩnh, lãnh tụ
+) người đứng đầu; trưởng
+) (thông tục) ông sếp, ông chủ",head,0.0
circumstance,"
+) a condition that accompanies or influences some event or activity",n,"
+) the historical context
+) another consideration is the time it would take
+) pomp and circumstance","+) hoàn cảnh, trường hợp, tình huống
+) sự kiện, sự việc, chi tiết
+) nghi thức, nghi lễ",circumstance,0.0
cite,"
+) a short note recognizing a source of information or of a quoted passage","n, v","
+) the student's essay failed to list several important citations
+) the acknowledgments are usually printed at the front of a book
+) the article includes mention of similar clinical cases","+) dẫn, trích dẫn
+) (pháp lý) đòi ra toà
+) nêu gương",citation,0.0
citizen,"
+) a native or naturalized member of a state or other political community",n,"
+) ","+) người dân thành thị
+) công dân, dân
+) (từ Mỹ,nghĩa Mỹ) người thường dân (trái với quân đội)",citizen,0.0
civil,"
+) applying to ordinary citizens as contrasted with the military","a, s","
+) civil authorities
+) even if he didn't like them he should have been civil
+) civil affairs","+) (thuộc) công dân
+) (thuộc) thường dân (trái với quân đội)
+) (thuộc) bên đời (trái với bên đạo)",civil,0.0
classic,"
+) a creation of the highest excellence","a, n, s","
+) the definitive work on Greece
+) classical methods of navigation
+) classic Cinese pottery","+) kinh điển
+) viết bằng thể văn kinh điển
+) cổ điển không mới (kiểu ăn mặc)",classic,0.0
closely,"
+) in a close relation or position in time or space",r,"
+) the onsets were closely timed
+) houses set closely together
+) was closely involved in monitoring daily progress","+) gần, gần gũi, thân mật
+) chặt chẽ, khít, sát, sít vào nhau
+) kỹ lưỡng, tỉ mỉ, cẩn thận",closely,0.0
collapse,"
+) an abrupt failure of function or complete physical exhaustion","n, v","
+) the commander's prostration demoralized his men
+) the roof is in danger of collapse
+) the collapse of the old star under its own gravity","+) đổ, sập, sụp, đổ sập
+) gãy vụn, gãy tan
+) suy sụp, sụp đổ",collapse,0.0
combination,"
+) a collection of things that have been combined; an assemblage of separate parts or qualities",n,"
+) he forgot the combination to the safe
+) they were a winning combination","+) sự kết hợp, sự phối hợp
+) (hoá học) sự hoá hợp
+) (hoá học) hợp chất",combination,0.0
comfort,"
+) a state of being relaxed and feeling no pain","n, v","
+) he is a man who enjoys his comfort
+) she longed for the comfortableness of her armchair
+) his presence was a consolation to her","+) sự an ủi, sự khuyên giải; người an ủi, người khuyên giải; nguồn an ủi, lời an ủi
+) sự an nhàn, sự nhàn hạ; sự sung túc
+) (số nhiều) tiện nghi",comfort,0.0
command,"
+) an authoritative direction or instruction to do something","n, v","
+) an admiral in command
+) the materials at the command of the potters grew
+) the corporation has just undergone a change in command","+) lệnh, mệnh lệnh
+) quyền chỉ huy, quyền điều khiển
+) sự làm chủ",command,0.0
commission,"
+) a special group delegated to consider some matter;  - Milton Berle","n, v","
+) a committee is a group that keeps minutes and loses hours
+) he works on commission
+) put the ships into commission","+) lệnh, mệnh lệnh
+) nhiệm vụ, phận sự
+) sự uỷ nhiệm, sự uỷ thác; công việc uỷ nhiệm, công việc uỷ thác",committee,0.0
commitment,"
+) the trait of sincere and steadfast fixity of purpose",n,"
+) a man of energy and commitment
+) his long commitment to public service
+) they felt no loyalty to a losing team","+) (như) committal
+) trát bắt giam
+) sự phạm (tội...)",committedness,0.0
committee,"
+) a special group delegated to consider some matter;  - Milton Berle",n,"
+) a committee is a group that keeps minutes and loses hours",+) uỷ ban,committee,0.0
commonly,"
+) under normal conditions",r,"
+) usually she was late","+) thường thường, thông thường, bình thường
+) tầm thường, thô tục",normally,0.0
suggest,"
+) make a proposal, declare a plan for something",v,"
+) the senator proposed to abolish the sales tax
+) The evidence suggests a need for more clarification
+) Tetracycline is indicated in such cases","+) gợi, làm nảy ra trong trí
+) đề nghị
+) đưa ra giả thuyết là",propose,0.0
site,"
+) the piece of land on which something is located (or is to be located)","n, v","
+) a good site for the school
+) the sites are determined by highly specific sequences of nucleotides
+) the Israeli web site was damaged by hostile hackers","+) nơi, chỗ, vị trí
+) đất xây dựng
+) đặt, để, định vị trí",site,0.0
analysis,"
+) an investigation of the component parts of a whole and their relations in making up the whole",n,"
+) his physician recommended psychoanalysis","+) sự phân tích
+) (vật lý),  (hoá học) phép phân tích
+) (toán học) giải tích",analysis,0.0
seven,"
+) the cardinal number that is the sum of six and one","n, s","
+) ","+) bảy
+) số bảy
+) nhóm bảy người",seven,0.0
play,"
+) a dramatic work intended for performance by actors on a stage","n, v","
+) he wrote several plays but only one was produced on Broadway
+) the play lasted two hours
+) the coach drew up the plays for her team","+) sự vui chơi, sự nô đùa, sự đùa giỡn; trò chơi, trò đùa
+) (thể dục,thể thao) sự đấu, sự chơi; trận đấu; cách chơi, lối chơi
+) (nghĩa bóng) lối chơi, cách xử sự",play,0.0
scientist,"
+) a person with advanced knowledge of one or more sciences",n,"
+) ","+) nhà khoa học; người giỏi về khoa học tự nhiên
+) người theo thuyết khoa học vạn năng",scientist,0.0
player,"
+) a person who participates in or is skilled at some game",n,"
+) he was a major player in setting up the corporation","+) (thể dục,thể thao) cầu thủ, đấu thủ
+) nhạc sĩ (biểu diễn)
+) (sân khấu) diễn viên",player,0.0
please,"
+) give pleasure to or be pleasing to","v, r","
+) These colors please the senses
+) a pleasing sensation
+) he could do many things if he pleased","+) làm vui lòng, làm hài lòng, làm vừa lòng, làm vừa ý; làm thích, làm vui
+) thích, muốn
+) mong ông (bà...) làm ơn (ngụ ý lễ phép, tôn kính)",please,0.0
police,"
+) the force of policemen and officers","n, v","
+) the law came looking for him","+) cảnh sát, công an (lực lượng, tổ chức...)
+) (dùng như số nhiều) những người cảnh sát, những người công an
+) khống chế (kiểm soát) (một vùng...) bằng lực lượng cảnh sát (công an)",police,0.0
policeman,"
+) a member of a police force",n,"
+) it was an accident, officer","+) officer) /pə'li:s'ɔfisə/
+) cảnh sát, công an",policeman,0.0
section,"
+) a self-contained part of a larger composition (written or musical)","n, v","
+) he always turns first to the business section
+) the history of this work is discussed in the next section
+) sections from the left ventricle showed diseased tissue","+) sự cắt; chỗ cắt
+) phần cắt ra, đoạn cắt ra
+) khu vực",section,0.0
pool,"
+) an excavation that is (usually) filled with water","n, v","
+) the pond was too small for sailing
+) a car pool
+) a secretarial pool","+) vũng
+) ao; bể bơi (bơi)
+) vực (chỗ nước sâu và lặng ở con sông)",pool,0.0
see,"
+) the seat within a bishop's diocese where his cathedral is located","n, v","
+) You have to be a good observer to see all the details
+) Can you see the bird in that tree?
+) He is blind--he cannot see","+) thấy, trông thấy, nhìn thấy; xem, quan sát, xem xét
+) xem, đọc (trang báo chí)
+) hiểu rõ, nhận ra",see,0.0
poor,"
+) people without possessions or wealth (considered as a group)","a, n, s","
+) the urban poor need assistance
+) a hapless victim
+) miserable victims of war","+) nghèo, bần cùng
+) xấu, tồi, kém, yếu
+) thô thiển",poor_people,0.0
sell,"
+) the activity of persuading someone to buy","n, v","
+) it was a hard sell
+) He sold his house in January
+) She sells her body to survive and support her drug habit","+) (thực vật học) sự làm thất vọng
+) (từ Mỹ,nghĩa Mỹ) vố chơi khăm; sự đánh lừa
+) bán (hàng hoá); chuyên bán",sell,0.0
popular,"
+) regarded with great favor, approval, or affection especially by the general public","a, s","
+) a popular tourist attraction
+) a popular girl
+) cabbage patch dolls are no longer popular","+) (thuộc) nhân dân, của nhân dân, do nhân dân
+) bình dân
+) có tính chất đại chúng, hợp với nhân dân, hợp với trình độ nhân dân, phổ cập",popular,0.0
send,"
+) cause to go somewhere",v,"
+) The explosion sent the car flying in the air
+) She sent her children to camp
+) He directed all his energies into his dissertation","+) gửi, sai, phái, cho đi ((cũng) scend)
+) cho, ban cho, phù hộ cho, giáng (trời,  Thượng đế...)
+) bắn ra, làm bốc lên, làm nẩy ra, toả ra",send,0.0
possible,"
+) something that can be done","a, n","
+) politics is the art of the possible
+) a breakthrough may be possible next year
+) anything is possible","+) có thể, có thể được, có thể làm được, có thể xảy ra
+) có thể chơi (với) được, có thể chịu đựng được
+) sự có thể",possible,0.0
september,"
+) the month following August and preceding October",n,"
+) ",+) tháng chín,September,0.0
science,"
+) a particular branch of scientific knowledge",n,"
+) the science of genetics
+) the skill of a well-trained boxer
+) the sweet science of pugilism","+) khoa học
+) khoa học tự nhiên
+) ngành khoa học",science,0.0
plant,"
+) buildings for carrying on industrial labor","n, v","
+) they built a large plant to manufacture automobiles
+) the police used a plant to trick the thieves
+) he claimed that the evidence against him was a plant","+) thực vật, cây (nhỏ)
+) sự mọc
+) dáng đứng, thế đứng",plant,0.0
school,"
+) an educational institution","n, v","
+) the school was founded in 1900
+) the school was built in 1932
+) he walked to school every morning","+) đàn cá, bầy cá
+) hợp thành đàn, bơi thành bầy (cá...)
+) trường học, học đường",school,0.0
photograph,"
+) a representation of a person or scene in the form of a print or transparent slide; recorded by a camera on light-sensitive material","n, v","
+) I photographed the scene of the accident
+) She snapped a picture of the President
+) Children photograph well","+) ảnh, bức ảnh
+) chụp ảnh (ai, cái gì)
+) chụp ảnh",photograph,0.0
perfect,"
+) a tense of verbs used in describing action that has been completed (sometimes regarded as perfective aspect)","a, n, v, s","
+) perfect your French in Paris!
+) a perfect circle
+) a perfect reproduction","+) hoàn hảo, hoàn toàn
+) thành thạo
+) (ngôn ngữ học) hoàn thành",perfective,0.0
period,"
+) an amount of time",n,"
+) a time period of 30 years
+) hastened the period of time of his recovery
+) Picasso's blue period","+) kỷ, kỳ, thời kỳ, giai đoạn, thời gian
+) thời đại, thời nay
+) tiết (học)",time_period,0.0
person,"
+) a human being",n,"
+) there was too much for one person to do
+) a weapon was hidden on his person
+) stop talking about yourself in the third person","+) con người, người
+) (nghĩa xấu) gã, anh chàng, thằng cha, mụ, ả...
+) bản thân",person,0.0
personal,"
+) a short newspaper article about a particular person or group","a, n, s","
+) a personal favor
+) for your personal use
+) personal papers","+) cá nhân, tư, riêng
+) nói đến cá nhân, ám chỉ cá nhân, chỉ trích cá nhân
+) nhân cách hoá",personal,0.0
phone,"
+) electronic equipment that converts sound into electrical signals that can be transmitted over distances and then converts received signals back into sounds","n, v","
+) I talked to him on the telephone
+) it was not the typing but the earphones that she disliked
+) I tried to call you all night","+) (ngôn ngữ học) âm tỏ lời nói
+) (thông tục) máy điện thoại, dây nói
+) gọi dây nói; nói chuyện bằng dây nói",telephone,0.0
photo,"
+) a representation of a person or scene in the form of a print or transparent slide; recorded by a camera on light-sensitive material",n,"
+) ",+) (viết tắt) của photograph,photograph,0.0
phrase,"
+) an expression consisting of one or more words forming a grammatical constituent of a sentence","n, v","
+) He formulated his concerns to the board of trustees
+) phrase a musical passage","+) nhóm từ
+) thành ngữ
+) cách nói",phrase,0.0
plane,"
+) an aircraft that has a fixed wing and is powered by propellers or jets","s, n, v","
+) the flight was delayed due to trouble with the airplane
+) we will refer to the plane of the graph as the X-Y plane
+) any line joining two points on a plane lies wholly on that plane","+) (thực vật học) cây tiêu huyền ((cũng) plane-tree,  platan)
+) cái bào
+) bào (gỗ, kim loại...)",airplane,0.0
piano,"
+) a keyboard instrument that is played by depressing keys that cause hammers to strike tuned strings and produce sounds","a, n, r","
+) the piano passages in the composition","+) (âm nhạc) pianô
+) (âm nhạc) nhẹ",piano,0.0
pig,"
+) domestic swine","n, v","
+) he devoured three sandwiches
+) sows farrow","+) lợn heo
+) thịt lợn; thịt lợn sữa
+) (thông tục) người phàm ăn; người bẩn thỉu; người khó chịu; người thô tục; người quạu cọ",hog,0.0
pink,"
+) a light shade of red","s, n, v","
+) he was tapping his fingers on the table impatiently
+) the car pinged when I put in low-octane gasoline
+) The car pinked when the ignition was too far retarded","+) hồng
+) (chính trị) hơi đỏ, khuynh tả, thân cộng
+) (thực vật học) cây cẩm chướng; hoa cẩm chướng",pink,0.0
saturday,"
+) the seventh and last day of the week; observed as the Sabbath by Jews and some Christians",n,"
+) ",+) ngày thứ bảy,Saturday,0.0
plan,"
+) a series of steps to be carried out or goals to be accomplished","n, v","
+) they drew up a six-step plan
+) they discussed plans for a new bond issue
+) the awkward design of the keyboard made operation difficult","+) sơ đồ, đồ án (nhà...)
+) bản đồ thành phố, bản đồ
+) mặt phẳng (luật xa gần)",plan,0.0
say,"
+) the chance to speak","n, v","
+) let him have his say
+) He said that he wanted to marry her
+) tell me what is bothering you","+) (từ hiếm,nghĩa hiếm) vải chéo
+) lời nói, tiếng nói; dịp nói; quyền ăn nói (quyền tham gia quyết định về một vấn đề)
+) tuyên bố; hứa hẹn; tiên đoán",say,0.0
post,"
+) the position where someone (as a guard or sentry) stands or is assigned to stand","n, v","
+) a soldier manned the entrance post
+) a sentry station
+) this military post provides an important source of income for the town nearby","+) cột trụ
+) vỉa cát kết dày
+) (ngành mỏ) cột than chống (để lại không khai thác để chống mỏ)",post,0.0
potato,"
+) an edible tuber native to South America; a staple food of Ireland",n,"
+) ","+) khoai tây
+) chỉ thấy khoai chẳng thấy thịt
+) (thông tục) được, ổn, chu",potato,0.0
pencil,"
+) a thin cylindrical pointed writing implement; a rod of marking substance encased in wood","n, v","
+) the words were scribbled in pencil
+) this artist's favorite medium is pencil
+) an eyebrow pencil","+) bút chì
+) vật hình bút chì
+) (vật lý); (toán học) hình chùm nhọn, chùm",pencil,0.0
seventeen,"
+) the cardinal number that is the sum of sixteen and one","n, s","
+) ","+) mười bảy
+) số mười bảy
+) tuổi trăng tròn, tuổi đôi tám",seventeen,0.0
sick,"
+) people who are sick","a, n, v, s","
+) they devote their lives to caring for the sick
+) After drinking too much, the students vomited
+) He purged continuously","+) ốm, đau; ốm yếu; (từ Mỹ,nghĩa Mỹ) khó ở, thấy kinh
+) buồn nôn
+) (hàng hải) cần sửa lại, cần chữa lại",sick,0.0
purple,"
+) a purple color or pigment","s, n, v","
+) he was born to the purple
+) a writer of empurpled literature
+) many purple passages","+) màu tía, áo màu tía (của vua, giáo chủ...)
+) (số nhiều) (y học) ban xuất huyết
+) đỏ tía",purple,0.0
sing,"
+) deliver by singing",v,"
+) Sing Christmas carols
+) She was singing while she was cooking
+) My brother sings very well","+) hát, ca hát
+) ca ngợi
+) hát, hót",sing,0.0
quarter,"
+) one of four equal parts","n, v","
+) a quarter of a pound
+) the Latin Quarter
+) both teams scored in the first quarter","+) một phần tư
+) mười lăm phút
+) quý (ba tháng); học kỳ ba tháng (trường học)",one-fourth,0.0
singer,"
+) a person who sings",n,"
+) ","+) người hát, ca sĩ
+) chim hót (loài chim hay hót)
+) nhà thơ, thi sĩ",singer,0.0
sister,"
+) a female person who has the same parents as another person",n,"
+) my sister married a musician
+) the Sisters taught her to love God
+) none of her sisters would betray her","+) chị, em gái
+) bạn gái thân (coi như chị em gái)
+) nữ tu sĩ, ni cô",sister,0.0
quick,"
+) any area of the body that is highly sensitive to pain (as the flesh underneath the skin or a fingernail or toenail)","n, s, r","
+) was quick to make friends
+) his quick reaction prevented an accident
+) hoped for a speedy resolution of the problem","+) thịt mềm (dưới móng tay, móng chân, trong vết thương)
+) tâm can, ruột gan; chỗ nhạy cảm nhất
+) (the quick) (từ cổ,nghĩa cổ) những người còn sống",quick,0.0
sit,"
+) be seated",v,"
+) The object sat in the corner
+) We sat around chatting for another hour
+) When does the court of law sit?","+) ngồi
+) đậu (chim)
+) ấp (gà mái)",sit,0.0
quickly,"
+) with rapid movements",r,"
+) he works quickly
+) the rescue squad arrived promptly
+) come here, quick!","+) nhanh, nhanh chóng",quickly,0.0
situation,"
+) the general state of things; the combination of circumstances at a given time; ; ; - Franklin D.Roosevelt",n,"
+) the present international situation is dangerous
+) wondered how such a state of affairs had come about
+) eternal truths will be neither true nor eternal unless they have fresh meaning for every new social situation","+) vị trí, địa thế
+) tình thế, tình cảnh, hoàn cảnh, trạng thái
+) chỗ làm, việc làm",situation,0.0
quiet,"
+) a period of calm weather","v, n, a, r, s","
+) there was a lull in the storm
+) he needed silence in order to sleep
+) the street was quiet","+) lặng, yên lặng, yên tĩnh
+) trầm lặng
+) nhã (màu sắc)",lull,0.0
six,"
+) the cardinal number that is the sum of five and one","n, s","
+) ","+) sáu
+) số sáu
+) (số nhiều) nếu số sáu (cứ 6 cây được một pao)",six,0.0
quite,"
+) to a degree (not used with a negative)",r,"
+) quite tasty
+) quite soon
+) quite ill","+) hoàn toàn, hầu hết, đúng là
+) khá
+) đúng, đồng ý, phải (trong câu đáp)",quite,0.0
sixteen,"
+) the cardinal number that is the sum of fifteen and one","n, s","
+) ","+) mười sáu
+) số mười sáu
+) mười sáu",sixteen,0.0
radio,"
+) medium for communication","a, n, v","
+) he radioed for help
+) radiochemistry","+) rađiô
+) máy thu thanh, máy rađiô
+) truyền đi bằng rađiô, thông tin bằng rađiô, phát thanh bằng rađiô; đánh điện bằng rađiô (cho ai)",radio,0.0
shower,"
+) a plumbing fixture that sprays water over you","n, v","
+) they installed a shower in the bathroom
+) he took a shower after the game
+) the game was interrupted by a brief shower","+) người chỉ, người cho xem, người dẫn; người trưng bày
+) trận mưa rào; trận mưa đá
+) trận mưa (đạn, đá...)",shower,0.0
programme,"
+) an announcement of the events that will occur as part of a theatrical or sporting event","n, v","
+) you can't tell the players without a program
+) he was admitted to a new program at the university
+) did you see his program last night?","+) chương trình (công tác, biểu diễn văn nghệ...)
+) cương lĩnh (của tổ chức, đảng phái)
+) đặt chương trình, lập chương trình",program,0.0
show,"
+) the act of publicly exhibiting or entertaining","n, v","
+) a remarkable show of skill
+) made a display of strength
+) a show of impatience","+) sự bày tỏ
+) sự trưng bày; cuộc triển lãm
+) sự phô trương, sự khoe khoang",show,0.0
prepare,"
+) make ready or suitable or equip in advance for a particular purpose or for some use, event, etc",v,"
+) Get the children ready for school!
+) prepare for war
+) I was fixing to leave town after I paid the hotel bill","+) sửa soạn sắm sửa, chuẩn bị, dự bị
+) soạn (bài); chuẩn bị cho, rèn cặp cho (ai đi thi...)
+) điều chế, pha chế (thuốc); làm, dọn, nấu (cơm, thức ăn)",fix,0.0
pound,"
+) 16 ounces avoirdupois","n, v","
+) he got a hernia when he tried to lift 100 pounds
+) unlicensed dogs will be taken to the pound
+) the sudden hammer of fists caught him off guard","+) Pao (khoảng 450 gam)
+) đồng bảng Anh
+) (xem) penny_wise",pound,0.0
